,,,,,
,BILL OF MATERIALS:,,,,
,,,,,
Required?,Item Name,Price ($ USD),Quantity,Link,
YES,6004ZZ Bearings (10pcs),14.69,2,https://www.amazon.com/dp/B071GLNRW6?ref=ppx_yo2ov_dt_b_fed_asin_title,
YES,Metal Servo Horn (20pcs),16.99,1,https://www.amazon.com/dp/B0CMX7S3K5?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,
YES,Servo Motor (6pcs),21.39,2,https://www.amazon.com/KEAcvise-Packs-mg996r-servo-Motor/dp/B0FGP9ZPJN/ref=sr_1_2_sspa?crid=3VDH5T2W2M4I2&dib=eyJ2IjoiMSJ9.yFGSDnmCNN2cNqWYPSfQbVJAxkPacgR7kjJSkuN9hUveXEOEuIbYV1VThziSUM3ayAAOfY_A2wUt4x5_88iAn6urHvV221fTp830psPjNdaPYOAwPyB2joe4JEmRRZXt4fOvk4CgXqa0ZVRjE4JZHXOaE8hUN2yXPbTduPTFMNiDwkWzL9F8r1amasSXSRMDfNAt-Pr67GbvO8YIgOwOHK8z_CRJrAnBzuxiPB8x3oOgEQD73eHaRIhN220QFP27DyI32duN49dXYLetwX2V5zowXUyb8D04Mq3SLGTj6j0.xq99_PGCggebXZKwsPFeTmB7gJNjrLfKN1bZctp5YcI&dib_tag=se&keywords=mg996R&qid=1785502482&sprefix=mg996rr%2Caps%2C454&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,
YES,Pimoroni Servo 2040,20.94 (£15.6),1,https://shop.pimoroni.com/products/servo-2040?variant=39800591679571,
YES,Screws (M2 - M5),,,,
YES,Thin Nuts (M2 - M5),,,,
NO,MPU-6050,8.99,1,https://www.amazon.com/EPLZON-MPU-6050-Accelerometer-Gyroscope-Converter/dp/B09TVYVC6X/ref=sr_1_1_sspa?crid=2G052C4SVYYLS&dib=eyJ2IjoiMSJ9.ZP_rdlchghWx6NHX6D3xI-hi9f81fpSK4z-ctPzxr4eUf7HClCAo577Tb9QJhaICqG_bt-82rJYcq1LIbCeCd839tmJ5X-lXbBSm6MZixNh1c4NLq2grHWNGXBh33NdR5fDPb5BEHW5mT4oGt6S85F907i8PmNuiOp6ZQ_cV7wTPYU7MvnOOXEhpViKNkwxhYJFbWxXDJVESpnpIWgcUeuMQJ5OTy3e0FpSUoLpQ6AQ.o2P7M6TOBpdKSloOKtzuwy8FDIDjtuVKDR1PHttAQRM&dib_tag=se&keywords=mpu6050&qid=1785502735&sprefix=mpu6%2Caps%2C452&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,
NO,VL53L0X (3pcs),12.99,1,https://www.amazon.com/Qoroos-VL53L0X-Breakout-Interface-Communication/dp/B0F1MRW55R/ref=sr_1_1_sspa?crid=2AKWAGXP28PKP&dib=eyJ2IjoiMSJ9.Nt1wq8AL4O4Mpbmd8jWuUcjPj5Rsvo6irLsJYFe3j4IOxj6Pbv1bAgHNJ8jx2249XRI_XL_ZEd5r1l56_ULiqW1ypvTZhrxJ2wVBDaL34o0oMGg_5djpjR7Ste3bNolhFaGx8yVp6fDIXtvglOv0yeBBLj9_wMGd7y4EjXBw5PuXpCVw_InWRBDTQknn6sAjETQuzSU2lKDqfZ4Y8XeR33LY5IJIVx43AZmZATJsjtU.S_uDj-lfi1Mcf99yLeHz7-j3o-hVpzwM77IuN6wFI-c&dib_tag=se&keywords=VL53L0X&qid=1785502784&sprefix=vl53l0x%2Caps%2C503&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,
,,,,,
,,,,,TOTAL PRICE
,,,,,119.08
,,,,,
,,,,,
,SUPPLIES:,,,,
,,,,,
Required?,Item Name,,,,
YES,Minimum 5V 5A Power Supply,,,,
YES,3D Printer,,,,
YES,Screwdriver,,,,
YES,Jumper wires,,,,
YES,~18AWG power wires,,,,
YES,Breadboard,,,,
NO,Gopro (or any camera),,,,
NO,Long USBC cables,,,,
NO,Alligator clips,,,,
